Sentiment	Text
positive	The money will be spent `` on strengthening the company 's competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in Russia , '' the release says .
positive	The new technology improves the glass quality and consistency while increasing throughput .
neutral	The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .
positive	The Vaisala Group is a successful international technology company that develops , manufactures and markets electronic measurement systems and products .
neutral	The Vuokatti unit will be developed to focus especially on the manufacture of prototypes , the ramp-up of new products and the demanding testing and after-sales services .
positive	We look forward to helping the company develop its operational services and further digitalize its services for its customers . ''
neutral	AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .
positive	`` The number of collection errors fell considerably , and operations speeded up .
positive	By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .
positive	In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .
positive	26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .
positive	8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .
positive	Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .
positive	Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier .
positive	Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .
positive	Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago .
positive	For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .
positive	In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 .
positive	In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 .
positive	( ADP News ) - Feb 9 , 2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113,000 ( USD 146,000 ) for 2008 from EUR 1.2 million for 2007 .
positive	The new factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) .
positive	20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .
positive	Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .
positive	In contrast , the company 's net loss for the third quarter of 2009 contracted to EUR 76 million from EUR 256 million for the corresponding period a year ago .
positive	In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .
positive	ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57
positive	Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .
positive	narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago .
positive	The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .
positive	Unit costs for flight operations fell by 6.4 percent .
positive	The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .
positive	Airvana 's UMTS Home Base Station femto cell uses software-based functionality and off-the-shelf silicon to accelerate feature development and reduce product cost .
positive	According to Sepp+Ænen , the new technology UMTS900 solution network building costs are by one-third lower than that of the building of 3.5 G networks , operating at 2,100 MHz frequency .
positive	The costs of the new ropax vessels are 30 % lower than those of the present ones .
neutral	The last job losses related to these reductions will take place during 2010 .
positive	The program 's target is structural cost reductions of about EUR 30mn in 2009 .
neutral	The third quarter result also includes a 400,000 euro ( $ 575,000 ) provision for down-sizing of lure manufacturing in Ireland .
positive	UPM-Kymmene is working closely with its shipping agents to reduce fuel consumption and greenhouse gas emissions .
negative	2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .
negative	( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a
negative	Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .
negative	The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .
negative	23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .
negative	Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .
negative	Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .
negative	In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year .
negative	In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .
negative	ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .
negative	ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2
negative	Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .
negative	Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier .
negative	Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .
negative	Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .
negative	The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .
neutral	A state program has been worked out , legal provisions have been developed , and rules and normative documents have been specified for the functioning of a technological park .
positive	In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .
positive	Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .
positive	The plan is estimated to generate some EUR 5 million ( USD 6.5 m ) in cost savings on an annual basis .
positive	Finnish pharmaceuticals company Orion reports profit before taxes of EUR 70.0 mn in the third quarter of 2010 , up from EUR 54.9 mn in the corresponding period in 2009 .
positive	Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 .
positive	Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .
positive	Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .
negative	Also construction expenses have gone up in Russia .
neutral	Neste Oil said it will build a biodiesel production facility in Rotterdam , the Netherlands , at an estimated cost of 670 million euros , naming France-based Technip as the project 's main contractor .
neutral	The European Central Bank ECB is anticipated to raise its benchmark interest rate in the second half of 2011 at the earliest .
negative	11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .
negative	Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .
negative	ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri
negative	Salonen added that data shows producers ' pulp inventories in North America are declining . '
negative	The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .
positive	For the current year , Raute expects its net sales to increase and the operating result -- to be positive .
positive	Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .
positive	As a result , the company currently anticipates net sales to increase and the operating result to be positive .
positive	Asimilar agreement was signed between China Mobile Ltd. ( SEHK : 0941 and NYSE : CHL ) , the largest mobile carrier , and theGPS and social networking service provider , promoting GyPSii service before Beijing 2008 Olympic Games , according to thelatest news .
positive	`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .
positive	Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .
neutral	Exports make up more than 80 per cent of our sales , so the name Glaston also reflects a truly internationally operating company , '' explains Kyro 's President & CEO Mika Seitovirta .
neutral	Westend ICT Plc s new 409,665,891 shares and increase of share capital with EUR 2,000,000 based on the resolutions of extraordinary shareholders meeting on 27 December 2010 have today registered in the Trade Register .
positive	Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 .
positive	Finnish industrial investor Panostaja Oyj OMX Helsinki : PNAAS OMX Helsinki : PNABS said on Friday 11 July that it has signed a deal to acquire the entire share capital of Kospa Oy , the manufacturer of waste disposal equipment .
positive	Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .
negative	Cash Flow from Operations for the most recent quarter also reached a eight year low .
positive	Both loans will be used to finance strategic investments such as shopping center redevelopment projects and refinancing of maturing debt .
positive	The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .
positive	Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .
positive	Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 .
positive	Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year .
positive	Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .
positive	Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .
positive	Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008 .
positive	Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .
positive	Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .
positive	Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .
positive	The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .
positive	Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .
neutral	Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342 .
positive	9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .
positive	By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .
positive	For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 .
positive	Mobile phone sales rose 25 % to 5.87 billion euros , while enterprise solution sales dropped 39 % to 186 million euros .
negative	RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .
negative	`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''
negative	At this growth rate , paying off the national debt will be extremely painful .
negative	Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .
negative	The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .
negative	At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .
positive	Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).
positive	Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be positive .
positive	`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .
positive	Repeats sees 2008 EBITA above 18 pct of sales .
positive	` By separating side businesses we will be able to faster expand and develop Tapro retail network .
positive	` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .
neutral	` Patja has worked well for us for more than a decade , and Fujitsu 's new bid was competitive .
positive	`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''
positive	`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .
positive	`` The Government has had a very professional approach in assessing the offer .
positive	`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .
positive	`` This is a win for all OEMs targeting to develop WiMAX products .
positive	A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .
positive	Finnish electronics manufacturing services company Elcoteq signing a cooperation agreement with a Japanese mobile phone manufacturer , bypasses Elcoteq Tallinn , says Jan Kotka , CEO of Elcoteq Tallinn .
positive	According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security .
positive	According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .
positive	According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .
positive	Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .
positive	At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg .
positive	Benefon , a wireless and GPS technology company , will supply Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service .
positive	Biohit and VWR have been in close cooperation for a number of years in the US , where Biohit is one of VWR 's focus suppliers .
positive	Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .
positive	Demand was brisk as expected and order levels have remained high .
positive	During the past decade it has gradually divested noncore assets and bought several sports equipment makers , including California-based Fitness Products International and Sparks , Nevada-based ATEC , a leading maker of baseball and softball pitching machines .
positive	Espoon kaupunki awarded contracts for personal care products .
positive	Exports accounted for 65.4 % of net sales , representing an all time record for the company .
positive	Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .
positive	Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .
neutral	In 2005 Cargotec 's net sales exceeded EUR 2.3 billion .
positive	In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .
positive	In addition to fireplace exports , demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year .
positive	Kalmar has been awarded a new 5-year contract to supply its Rough Terrain Container Handler RTCH .
positive	Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .
positive	Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .
positive	Net cash flow from operations is expected to remain positive .
positive	Of the price , Kesko 's share is 10 mln euro $ 15.5 mln and it will recognize a gain of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 .
positive	Olvi has posted a strong set of figures for the first six months of this year .
positive	Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .
positive	Our standardised services have met with a positive reception among our customers as well as at Itella .
positive	Performance in the second half of 2009 exceeded expectations .
positive	Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .
positive	Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .
positive	Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February .
positive	Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .
positive	Talvivaara also maintains its assumption of turning cash flow positive before the year end .
positive	Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''
positive	The acquisition is expected to improve access to chrome ore resources in Turkey .
positive	The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 .
positive	The company estimates that the trend in demand for sports equipment will be steady in 2006 , '' Amer 's report said .
positive	The estimated synergy benefits are at least EUR7m annually .
neutral	The goal will be achieved via organic growth possibly supplemented by acquisitions .
positive	The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .
neutral	The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .
positive	The objective of the planned measures is to achieve significant savings in the next few years .
positive	The rebuilds are designed to improve the machines ' performance and product quality .
positive	The transaction will have a positive impact of around EUR2m on earnings , which Ruukki will recognize during the fourth quarter of this year .
positive	When the situation normalises , the company will be able to increase the amount of residential units for sale in St Petersburg and Moscow , in particular .
positive	` This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system , ' Kone spokeswoman told Thomson Financial News .
positive	`` Our customers now have the chance to make bookings for all the services they want at one location , '' said Mikko Tuomainen , in-charge of Finnair 's Internet ( sales ) .
positive	`` Stonesoft sees great promise in the future of IPv6 .
positive	`` The combined activities will create value for shareholders and be good for our employees and customers .
positive	`` The trend in the sports and leisure markets was favorable in the first months of the year .
positive	`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .
positive	16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will deliver minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .
positive	27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .
positive	According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .
positive	Finnish construction group Lemmink+Æinen has been awarded two road building contracts by the Lithuanian transport administration .
positive	Finnish construction group YIT has been awarded a contract to install heating , air conditioning and cooling systems to the new head office of the automobile association ADAC in Munich in Germany .
positive	Finnish flexible packaging manufacturer Suominen Corporation reports net sales of EUR 54.5 mn in the first quarter of 2008 , compared with EUR 54.3 mn a year earlier .
positive	Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America .
positive	Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .
positive	Finnish Metso Paper has won an order to supply an uncoated fine paper machine to MCC Paper Yinhe , in China .
positive	Finnish Outokumpu Technology has been awarded several new grinding technology contracts .
positive	Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+¦rbindelsen bridge in Gothenburg in Sweden .
positive	Lule+_ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .
positive	The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations positive for the first time in 2011 .
positive	According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .
positive	According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .
positive	According to Kesko , the company agreed with the city administration about lease of the building in 2006 , its resettlement and construction of a five-star hotel Hilton for 120 rooms .
positive	According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .
positive	According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .
positive	According to Schmardin , Nordea will most likely try to win customers over from other pension fund providers .
positive	According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years .
positive	Adanac Molybdenum of Canada has ordered grinding technology for its molybdenum project in British Columbia , Canada , while Shalkiya Zinc of Kazakhstan has awarded a contract for grinding technology for the Shalkiya zinc-lead project in Kazakhstan .
positive	All of Raisio 's divisions recorded an operating profit .
neutral	An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 .
positive	And the broker repeated its ` buy ' rating , based on expectations that current restructuring will lead to a clear improvement in performance in Europe in 2007 .
positive	Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .
positive	As a domestic business , Best-In is already close to Finnish dog owners .
positive	BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .
positive	Cash flow from operating activities is estimated to be positive .
positive	Cision says the sale will return its U.K. operation to profitability .
positive	Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .
positive	Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been selected by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .
positive	Department store sales improved by 14 % to EUR 1,070.6 mn .
positive	DMASIA-16 August 2006-Benefon extends manufacturing capability with ASMobile -_ 2006 Digitalmediaasia.com & DMA Ltd. .
positive	Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .
positive	Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday .
positive	Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE .
positive	Finnish financial solutions developer Basware Corporation ( OMX Helsinki BAS1V ) said on Tuesday ( 23 September ) that it will deliver a complete Invoice Automation solution to a large US engineering , construction and technical services organization .
positive	Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .
positive	Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .
positive	Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .
positive	Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .
positive	For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products .
